en,ku,pos,description,stars
aa,اا,,,
aah,ااه,,,
aal,اال,,,
aalii,االیی,,,
aardvark,بەرازی زەوی,,,
aardvarks,بەرازەکانی زەوی,,,
aardwolf,گورگی زەوی,,,
aardwolves,گورگەکانی زەوی,,,
abaca,ئەباجا,,,
aback,بۆ پشتەوە,,,
abalone,گوێچکەماسی,,,
abalones,گوێچکەماسییەکان,,,
abandon,پشتگوێ خستن,,,
abandoned,پشتگوێ خرا,,,
abandonee,پشتگوێ خراو,,,
abandoning,پشتگوێ خستن,,,
abandons,پشتگوێی ئەخا,,,
abase,ڕق,,,
abased,ڕق لێکراو,,,
abasement,ڕق لێکراو,,,
abash,شەرمەزاری,,,
abashed,شەرمەزار بوو,,,
abashes,شەرمەزاری ئەکات,,,
abashing,شەرمەزار کردن,,,
abashment,شەرمەزار کراو,,,
abashments,شەرمەزار کراوەکان,,,
abatable,بچوککراوە,,,
abate,بچوکی بکەرەوە,,,
abated,بچوککرایەوە,,,
abatement,بچوککراوە,,,
abatements,بچوککراوەکان,,,
abates,بچوکی دەکاتەوە,,,
abating,بچوککردنەوە,,,
abatis,پەرژین,,,
abator,قەساب,,,
abators,قەسابەکان,,,
abattis,پەرژین,,,
abattises,پەرژینی دەکات,,,
abilities,تواناکان,,,
ability,توانا,,,
able,توانا,,,
abnormal,نائاسایی,,,5
abnormally,بە نائاسایی,,,
abnormity,شاز,,,
aboard,لە سەر کەشتی,,,
abord,یەکەم,,,
abort,لەباربردن,,,
aborted,لەباری برد,,,
aborting,لەباربردن,,,
abortion,لەباربردن,,,
aborts,لەباری ئەبا,,,
about,دەربارە,,,
abouts,دەربارەکان,,,
above,سەرەوە,,,
abridge,کورت,,,
abridged,کورتکرایەو,,,
abridger,کورتکەرەوە,,,
abridgers,کورتکەرەوەکان,,,
abridges,کورتەکان,,,
abridging,کورتکردن,,,
abridgment,کورتکردن,,,
absolute,تەواو,,,
absolutely,تەواوی,,,
absolution,تەواو,,,
absolve,لێخۆشبون,,,
absolved,لێیخۆشبون,,,
absolves,لێیخۆشەبێت,,,
absolving,لێخۆشبون,,,
abstract,پوختە,,,
abstracted,پوختەکرا,,,
abstractly,پوختەکراوی,,,
abstractor,پوختەکار,,,
abstracts,پوختەی ئەکات,,,
academe,ئەکادیمی,,,
academes,ئەکادیمییەکان,,,
academia,ئەکادیمیا,,,
academic,ئەکادیمی,,,
academies,ئەکادیمیاکان,,,
academism,ئەکادیمکار,,,
academists,ئەکادیمکارەکان,,,
academy,ئەکادیمی,,,
accedence,ڕوداو,,,
accedences,ڕوداوەکان,,,
accent,زاراوە,,,
accept,پەسەند,,,
acceptable,پەسەندکراو,,,
acceptably,بە پەسەندکراوی,,,
acceptance,پەسەندکردن,,,
accepted,پەسەند کرا,,,
accepter,پەسەندکار,,,
accepters,پەسەندکارەکان,,,
accepting,پەسەندکردن,,,
accepts,پەسەندی دەکات,,,
access,چونەناو,,,
accessed,چونە ناوەوە,,,
accesses,ئەچێتە ناوەوە,,,
accessible,کراوەیە بۆ چونە ناو,,,
accessibly,بە کراوەیی,,,
accessing,چونە ناوەوە,,,
accidence,ڕواداو,,,
accident,ڕوداو,,,
accidental,ڕوداو,,,
accidented,ڕوداو بو,,,
accidents,ڕوداوەکان,,,
according,بە پێی,,,
account,هەژمار,,,
accounted,هەژمار کرا,,,
accounting,هەژمار کردن,,,
accounts,هەژمارەکان,,,
achieve,گەیشتن,,,
achieved,گەیشت,,,
achiever,پێگەیشتو,,,
achievers,پێگەیشتووەکان,,,
achieves,ئەگات,,,
achieving,پێگەیشتن,,,
acquire,بەدەست هێنان,,,
acquired,بەدەستی هێنا,,,
acquires,بەدەستی ئەهێنێ,,,
acquiring,بەدەست هێنان,,,
acrobat,تەنافبازی,,,
acrobatism,تەنافبازی,,,
acrobats,تەنافبازەکان,,,
across,بەدرێژایی,,,
act,نواندن,,,
acted,نوێنرا,,,
acting,نواندن,,,
actings,نواندنەکان,,,
action,کار,,,
actions,کارەکان,,,
activate,چالاک کردن,,,
activated,چالاک کرا,,,
activates,چالاکی دەکات,,,
activating,چالاک کردن,,,
activation,چالاککردن,,,
activator,چالاککەر,,,
activators,چالاککەرەکان,,,
active,چالاک,,,
actively,بە چالاکی,,,
activities,چالاکی,,,
activity,چالاکی,,,
actor,ئەکتەر,,,
actors,ئەکتەرەکان,,,
acts,نواندن دەکات,,,
actual,ڕاستی,,,
add,سەرخستن,,,
added,سەرخرا,,,
addict,هۆگر,,,
addicted,هۆگربوو,,,
